Date,Open,High,Low,Close,Volume
2021-01-04,4257.4399,4273.7598,4177.2202,4257.4399,0
2021-01-05,4367.1802,4367.1802,4244.8398,4367.1802,0
2021-01-06,4417.8398,4437.3901,4366.3599,4417.8398,0
2021-01-07,4528.8501,4529.2300,4417.8398,4528.8501,0
2021-01-08,4560.0200,4567.0200,4491.6001,4560.0200,0
2021-01-11,4552.5200,4560.0200,4497.3501,4552.5200,0
2021-01-12,4600.1201,4610.6099,4547.6299,4600.1201,0
2021-01-13,4658.7100,4658.7100,4600.1201,4658.7100,0
2021-01-14,4640.8398,4675.7300,4609.4502,4640.8398,0
2021-01-15,4572.1001,4640.8398,4572.1001,4572.1001,0
2021-01-18,4624.1099,4624.1099,4532.7202,4624.1099,0
2021-01-19,4669.7402,4691.6401,4624.1099,4669.7402,0
2021-01-20,4637.8398,4697.1602,4631.7900,4637.8398,0
2021-01-21,4579.2700,4669.6099,4579.2700,4579.2700,0
2021-01-22,4481.0000,4579.2700,4481.0000,4481.0000,0
2021-01-25,4488.9302,4545.5098,4471.5298,4488.9302,0
2021-01-26,4497.7402,4533.5400,4457.2700,4497.7402,0
2021-01-27,4417.9902,4497.7402,4395.5498,4417.9902,0
2021-01-28,4410.7998,4425.2500,4354.0400,4410.7998,0
2021-01-29,4288.6499,4420.5200,4288.6499,4288.6499,0
2021-02-01,4381.0098,4381.6802,4288.6499,4381.0098,0
2021-02-02,4416.9502,4452.5098,4381.0098,4416.9502,0
2021-02-03,4401.8701,4437.8701,4400.5098,4401.8701,0
2021-02-04,4412.0000,4416.0098,4374.6099,4412.0000,0
2021-02-05,4449.4502,4460.3301,4412.0000,4449.4502,0
2021-02-08,4487.0898,4493.0898,4449.4502,4487.0898,0
2021-02-09,4542.7202,4543.4302,4479.5200,4542.7202,0
2021-02-10,4527.6499,4558.8198,4492.3398,4527.6499,0
2021-02-11,4548.2002,4559.0098,4508.7998,4548.2002,0
2021-02-12,4599.0898,4599.7100,4531.6099,4599.0898,0
2021-02-15,4620.1201,4625.3398,4579.5801,4620.1201,0
2021-02-16,4653.0698,4678.8501,4620.1201,4653.0698,0
2021-02-17,4559.2002,4655.7300,4553.0200,4559.2002,0
2021-02-18,4518.6401,4559.6499,4496.6899,4518.6401,0
2021-02-19,4623.7402,4623.8599,4518.6401,4623.7402,0
2021-02-22,4569.3398,4623.7402,4551.6401,4569.3398,0
2021-02-23,4489.2100,4569.3398,4482.7500,4489.2100,0
2021-02-24,4576.4102,4594.1699,4489.2100,4576.4102,0
2021-02-25,4574.4302,4608.3198,4569.9502,4574.4302,0
2021-02-26,4573.3701,4596.5298,4551.2500,4573.3701,0
2021-03-01,4637.5400,4639.3799,4573.3701,4637.5400,0
2021-03-02,4720.0898,4749.7598,4634.0498,4720.0898,0
2021-03-03,4787.4502,4797.4502,4711.1201,4787.4502,0
2021-03-04,4700.5698,4788.5498,4700.5698,4700.5698,0
2021-03-05,4713.7300,4748.1899,4655.7598,4713.7300,0
2021-03-08,4712.9502,4714.5298,4676.5000,4712.9502,0
2021-03-09,4838.1802,4846.7402,4709.0400,4838.1802,0
2021-03-10,4888.5498,4891.6201,4827.3701,4888.5498,0
2021-03-11,4881.1001,4929.0898,4851.0898,4881.1001,0
2021-03-12,4893.2300,4894.2500,4831.6899,4893.2300,0
2021-03-15,4913.7798,4929.3999,4890.8799,4913.7798,0
2021-03-16,4905.0498,4929.1499,4877.6201,4905.0498,0
2021-03-17,4909.3999,4917.2700,4873.3501,4909.3999,0
2021-03-18,4878.6699,4920.0200,4866.4702,4878.6699,0
2021-03-19,4854.9199,4878.6699,4819.8701,4854.9199,0
2021-03-22,4831.6201,4858.4502,4806.4102,4831.6201,0
2021-03-23,4802.8999,4831.6201,4797.0698,4802.8999,0
2021-03-24,4842.2598,4861.7998,4790.3599,4842.2598,0
2021-03-25,4767.7900,4846.7500,4737.8701,4767.7900,0
2021-03-26,4854.4199,4860.0801,4767.7900,4854.4199,0
2021-03-29,4916.6899,4949.7002,4854.4199,4916.6899,0
2021-03-30,4928.1499,4933.0298,4876.3501,4928.1499,0
2021-03-31,4898.0898,4957.8501,4895.2202,4898.0898,0
2021-04-01,4885.2598,4921.7002,4844.0000,4885.2598,0
2021-04-05,4871.1699,4897.3198,4860.0098,4871.1699,0
